name;epidCode;growthRate;region;archived;externalID
LK Herford;HF;0;Nordrhein-Westfalen;0;11005758
LK Höxter;HX;0;Nordrhein-Westfalen;0;11005762
LK Lippe;LIP;0;Nordrhein-Westfalen;0;11005766
LK Minden-Lübbecke;MI;0;Nordrhein-Westfalen;0;11005770
LK Paderborn;PB;0;Nordrhein-Westfalen;0;11005774
SK Bochum;BO;0;Nordrhein-Westfalen;0;11005911
SK Dortmund;DO;0;Nordrhein-Westfalen;0;11005913
SK Hagen;HA;0;Nordrhein-Westfalen;0;11005914
SK Hamm;HAM;0;Nordrhein-Westfalen;0;11005915
SK Herne;HER;0;Nordrhein-Westfalen;0;11005916
LK Ennepe-Ruhr-Kreis;EN;0;Nordrhein-Westfalen;0;11005954
LK Hochsauerlandkreis;MES;0;Nordrhein-Westfalen;0;11005958
LK Märkischer Kreis;MK;0;Nordrhein-Westfalen;0;11005962
LK Olpe;OE;0;Nordrhein-Westfalen;0;11005966
LK Siegen-Wittgenstein;SI;0;Nordrhein-Westfalen;0;11005970
LK Soest;SO;0;Nordrhein-Westfalen;0;11005974
LK Unna;UN;0;Nordrhein-Westfalen;0;11005978
SK Darmstadt;DA;0;Hessen;0;11006411
SK Frankfurt am Main;F;0;Hessen;0;11006412
SK Offenbach;OF;0;Hessen;0;11006413
SK Wiesbaden;WI;0;Hessen;0;11006414
LK Bergstraße;HP;0;Hessen;0;11006431
LK Darmstadt-Dieburg;DI;0;Hessen;0;11006432
LK Groß-Gerau;GG;0;Hessen;0;11006433
LK Hochtaunuskreis;HG;0;Hessen;0;11006434
LK Main-Kinzig-Kreis;HU;0;Hessen;0;11006435
LK Main-Taunus-Kreis;MTK;0;Hessen;0;11006436
LK Odenwaldkreis;ERB;0;Hessen;0;11006437
LK Offenbach;OF;0;Hessen;0;11006438
LK Rheingau-Taunus-Kreis;SWA;0;Hessen;0;11006439
LK Wetteraukreis;FB;0;Hessen;0;11006440
LK Gießen;GI;0;Hessen;0;11006531
LK Lahn-Dill-Kreis;LDK;0;Hessen;0;11006532
LK Limburg-Weilburg;LM;0;Hessen;0;11006533
LK Marburg-Biedenkopf;MR;0;Hessen;0;11006534
LK Vogelsbergkreis;VB;0;Hessen;0;11006535
SK Kassel;KS;0;Hessen;0;11006611
LK Fulda;FD;0;Hessen;0;11006631
LK Hersfeld-Rotenburg;HEF;0;Hessen;0;11006632
LK Kassel;WOH;0;Hessen;0;11006633
LK Schwalm-Eder-Kreis;HR;0;Hessen;0;11006634
LK Waldeck-Frankenberg;WA;0;Hessen;0;11006635
LK Werra-Meißner-Kreis;ESW;0;Hessen;0;11006636
SK Koblenz;KO;0;Rheinland-Pfalz;0;11007111
LK Ahrweiler;AW;0;Rheinland-Pfalz;0;11007131
LK Altenkirchen;AK;0;Rheinland-Pfalz;0;11007132
LK Bad Kreuznach;KH;0;Rheinland-Pfalz;0;11007133
LK Birkenfeld;BIR;0;Rheinland-Pfalz;0;11007134
LK Cochem-Zell;COC;0;Rheinland-Pfalz;0;11007135
LK Mayen-Koblenz;MYK;0;Rheinland-Pfalz;0;11007137
LK Neuwied;NR;0;Rheinland-Pfalz;0;11007138
LK Rhein-Hunsrück-Kreis;SIM;0;Rheinland-Pfalz;0;11007140
LK Rhein-Lahn-Kreis;EMS;0;Rheinland-Pfalz;0;11007141
LK Westerwaldkreis;WW;0;Rheinland-Pfalz;0;11007143
SK Trier;TR;0;Rheinland-Pfalz;0;11007211
LK Bernkastel-Wittlich;WIL;0;Rheinland-Pfalz;0;11007231
LK Bitburg-Prüm;BIT;0;Rheinland-Pfalz;0;11007232
LK Vulkaneifel;DAU;0;Rheinland-Pfalz;0;11007233
LK Trier-Saarburg;TR;0;Rheinland-Pfalz;0;11007235
SK Frankenthal;FT;0;Rheinland-Pfalz;0;11007311
SK Kaiserslautern;KL;0;Rheinland-Pfalz;0;11007312
SK Landau i.d.Pfalz;LD;0;Rheinland-Pfalz;0;11007313
SK Ludwigshafen;LU;0;Rheinland-Pfalz;0;11007314
SK Mainz;MZ;0;Rheinland-Pfalz;0;11007315
SK Neustadt a.d.Weinstraße;NW;0;Rheinland-Pfalz;0;11007316
SK Pirmasens;PS;0;Rheinland-Pfalz;0;11007317
SK Speyer;SP;0;Rheinland-Pfalz;0;11007318
SK Worms;WO;0;Rheinland-Pfalz;0;11007319
SK Zweibrücken;ZW;0;Rheinland-Pfalz;0;11007320
